User ID,Gender,Age,EstimatedSalary,Purchased,Occupation,Education Level,Marital Status
15794661,Female,25,113734,0,Salesperson,Bachelor,Married
15776348,Female,29,71724,0,Engineer,Bachelor,Single
15591433,Male,35,52958,0,Artist,Bachelor,Widowed
15779581,Male,27,60738,0,Artist,PhD,Divorced
15619465,Female,46,17501,1,Clerk,Bachelor,Single
15723373,Male,38,44053,0,Retired,PhD,Widowed
15667742,Male,36,56312,0,Artist,PhD,Married
15709183,Male,43,53143,0,Salesperson,Bachelor,Widowed
15727311,Female,33,81936,0,Teacher,PhD,Widowed
15735878,Male,55,150000,1,Manager,PhD,Divorced
15764604,Male,46,92578,1,Clerk,PhD,Married
15780572,Female,48,66537,1,Technician,High School,Single
15625395,Male,57,46858,1,Chef,Master,Single
15631912,Female,27,82501,0,Chef,Bachelor,Married
15756932,Male,27,116640,0,Doctor,Master,Single
15768816,Male,28,65044,0,Technician,High School,Divorced
15706071,Male,50,17403,1,Clerk,Master,Married
15747097,Female,38,70757,0,Clerk,Master,Single
15662901,Male,20,74472,0,Chef,Master,Widowed
15782806,Female,29,80193,0,Doctor,PhD,Divorced
15631912,Female,29,71527,0,Salesperson,High School,Divorced
15644296,Female,37,50291,0,Retired,Bachelor,Divorced
15768816,Male,26,79234,0,Chef,Bachelor,Divorced
15612465,Male,36,60869,0,Retired,Bachelor,Single
15578738,Female,21,114752,0,Manager,PhD,Single
15631159,Male,47,34733,1,Artist,Master,Single
15587177,Male,40,72921,0,Engineer,High School,Widowed
15595228,Female,23,12106,0,Artist,High School,Divorced
15801336,Female,45,93026,1,Salesperson,High School,Widowed
15689237,Male,42,95971,0,Engineer,PhD,Widowed
15769596,Female,56,119538,1,Teacher,PhD,Single
15680243,Female,19,24743,0,Artist,High School,Married
15601550,Female,39,60340,0,Chef,Master,Married
15810800,Female,40,93988,0,Doctor,Master,Widowed
15756820,Female,27,33433,0,Artist,Bachelor,Married
15594577,Male,28,41473,0,Artist,PhD,Divorced
15769596,Female,55,90935,1,Artist,High School,Divorced
15734161,Female,35,97107,1,Clerk,PhD,Divorced
15749130,Female,42,44518,0,Engineer,High School,Single
15749130,Female,43,67016,0,Doctor,Master,Divorced
15755018,Male,33,23974,0,Retired,PhD,Single
15649668,Male,43,59255,0,Retired,Bachelor,Divorced
15801336,Female,39,128004,1,Engineer,Bachelor,Single
15814816,Male,29,85043,0,Manager,Bachelor,Single
15745232,Male,29,35931,0,Clerk,PhD,Divorced
15573452,Female,18,13873,0,Artist,Bachelor,Single
15729054,Female,26,148682,1,Teacher,PhD,Married
15735549,Female,41,136602,1,Clerk,PhD,Married
15586996,Female,41,72283,0,Teacher,Bachelor,Widowed
15576219,Male,44,66408,0,Engineer,Bachelor,Widowed
15757837,Male,36,70639,0,Engineer,Master,Widowed
15611430,Female,57,70112,1,Manager,Master,Widowed
15603319,Male,34,29408,0,Salesperson,High School,Divorced
